                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4166,                 1.5275,                 1.8875,                0.77316,                0.87021,                0.84186,                 0.3445,                 2.2902,                 1.7169,                 3.3044,             0.00055466,             0.00055466,             0.00055466
                      2,                 1.3481,                 1.1987,                 1.7904,                0.61082,                0.80521,                0.74025,                0.31447,                  2.638,                 1.4705,                 4.1894,              0.0010664,              0.0010664,              0.0010664
                      3,                 1.2673,                 1.1026,                 1.7207,                0.91072,                0.86535,                0.95315,                0.51985,                 1.8268,                0.82441,                 2.6689,              0.0015341,              0.0015341,              0.0015341
                      4,                 1.1924,                 1.0393,                 1.6623,                0.80834,                0.90932,                0.94764,                0.56667,                 1.4966,                0.74486,                 2.1711,               0.001469,               0.001469,               0.001469
                      5,                 1.1504,                0.97552,                 1.6271,                0.90683,                0.87294,                0.94434,                0.49284,                 1.6871,                0.82305,                 2.4362,               0.001469,               0.001469,               0.001469
                      6,                 1.1022,                 0.9205,                 1.5762,                0.93167,                0.95829,                0.97433,                0.61852,                 1.3213,                0.59704,                 1.9682,              0.0014029,              0.0014029,              0.0014029
                      7,                 1.0635,                0.87848,                 1.5437,                0.93481,                 0.9877,                0.99014,                0.56768,                 1.5563,                0.60938,                 2.2629,              0.0013369,              0.0013369,              0.0013369
                      8,                  1.041,                0.85283,                 1.5301,                 0.9784,                 0.9877,                0.98966,                0.62759,                 1.3639,                0.65766,                 1.9811,              0.0012709,              0.0012709,              0.0012709
                      9,                  1.009,                0.81814,                 1.4968,                0.97733,                0.98388,                0.98353,                0.66667,                 1.3408,                0.58613,                 1.9732,              0.0012049,              0.0012049,              0.0012049
                     10,                0.98715,                0.80124,                 1.4818,                0.94881,                0.97454,                0.98474,                0.73967,                0.96437,                 0.4971,                 1.5543,              0.0011389,              0.0011389,              0.0011389
                     11,                0.96592,                0.76891,                 1.4653,                0.93846,                 0.9877,                0.98782,                0.73678,                0.84125,                0.44321,                 1.4293,              0.0010729,              0.0010729,              0.0010729
                     12,                0.95487,                0.76042,                 1.4501,                0.92847,                0.98465,                0.98713,                0.68432,                 1.1829,                0.53916,                 1.7945,              0.0010069,              0.0010069,              0.0010069
                     13,                0.93551,                 0.7511,                 1.4385,                0.98511,                0.98472,                0.99266,                0.75163,                 1.0492,                0.50968,                 1.6799,             0.00094085,             0.00094085,             0.00094085
                     14,                0.91561,                0.73261,                 1.4196,                0.96367,                0.97541,                0.97238,                0.75287,                0.88374,                0.56715,                 1.4745,             0.00087484,             0.00087484,             0.00087484
                     15,                0.89581,                0.71068,                 1.4072,                0.97887,                0.98881,                0.99273,                0.76125,                0.88687,                0.44179,                 1.4613,             0.00080883,             0.00080883,             0.00080883
                     16,                0.76955,                0.40054,                   1.54,                0.98679,                 0.9918,                0.99373,                0.79488,                0.85334,                0.43444,                 1.4837,             0.00074282,             0.00074282,             0.00074282
                     17,                0.74639,                0.38055,                 1.5084,                0.98186,                0.98765,                0.99203,                0.78392,                0.78672,                0.38957,                 1.3759,              0.0006768,              0.0006768,              0.0006768
                     18,                0.72399,                 0.3683,                 1.4888,                0.98446,                 0.9959,                0.99312,                0.79047,                0.84687,                0.40154,                 1.4547,             0.00061079,             0.00061079,             0.00061079
                     19,                0.69126,                0.35333,                 1.4518,                 0.9918,                 0.9877,                0.99031,                0.78324,                0.83988,                 0.4001,                 1.4631,             0.00054478,             0.00054478,             0.00054478
                     20,                0.67959,                0.34463,                 1.4365,                0.98917,                0.99242,                 0.9934,                0.79175,                0.78472,                0.37139,                 1.3692,             0.00047876,             0.00047876,             0.00047876
                     21,                0.64934,                0.33381,                 1.3984,                0.98226,                 0.9959,                0.99311,                0.79638,                0.75407,                0.36331,                 1.3467,             0.00041275,             0.00041275,             0.00041275
                     22,                0.64182,                0.32932,                 1.3898,                0.95982,                 0.9959,                0.98551,                0.76912,                0.78037,                0.35525,                 1.3606,             0.00034674,             0.00034674,             0.00034674
                     23,                0.60882,                0.31795,                 1.3559,                0.99217,                0.99225,                0.99377,                0.78977,                0.70882,                0.33198,                 1.2784,             0.00028072,             0.00028072,             0.00028072
                     24,                0.59616,                0.31245,                 1.3442,                0.99338,                0.99297,                0.99348,                0.80311,                0.69059,                 0.3223,                 1.2608,             0.00021471,             0.00021471,             0.00021471
                     25,                0.56409,                0.29738,                 1.3037,                0.99246,                0.99473,                0.99369,                0.81433,                0.68466,                0.31713,                 1.2873,              0.0001487,              0.0001487,              0.0001487
